web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Toffolo,NFO,DEF,1.3,4.4,0.0,4,4,4.3,29.2,14.0,0.0,163,86,0,0,1,0,0,0,0,0,0,0.0,0,0,0,30,0.0,0.02,0.02,0.88,0.0,0.0,Available,0,0,1.3,1.3,3,0,1
Ui-jo,NFO,FWD,0.0,4.4,0.6,0,0,0.0,0.0,0.0,0.0,0,4943,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Williams,NFO,DEF,0.0,4.4,0.2,0,3,4.9,26.8,15.9,6.0,135,611,0,0,0,1,0,0,0,0,0,0.0,0,0,1,108,0.02,0.07,0.09,0.97,0.0,0.0,Available,0,0,0.0,0.0,3,0,0
Wood,NFO,FWD,1.0,4.9,0.5,1,13,10.4,40.6,32.8,31.0,986,2462,2,1,0,0,0,0,0,0,0,0.0,0,0,0,67,0.35,0.05,0.4,2.45,0.0,0.0,Available,0,0,1.0,1.0,3,0,1
Worrall,NFO,DEF,0.7,4.5,0.1,0,12,11.2,74.0,21.9,16.0,110,376,3,0,0,7,1,0,0,0,0,0.0,0,1,5,425,0.1,0.31,0.41,7.78,100.0,100.0,Available,0,0,0.7,0.7,3,0,0
Yates,NFO,MID,0.3,4.9,0.0,0,8,5.9,50.2,6.1,3.0,14,183,0,0,0,5,1,0,0,0,0,0.0,1,0,3,310,0.02,0.02,0.04,6.51,75.0,0.0,Doubtful,0,0,0.3,0.2,3,0,0
Aina,NFO,DEF,1.0,4.5,0.1,0,8,7.5,55.0,14.8,5.0,354,976,0,0,0,8,1,0,0,0,0,0.0,3,0,5,397,0.05,0.03,0.08,6.17,75.0,100.0,Doubtful,0,0,1.0,0.8,3,0,0
G.Shelvey,NFO,GKP,0.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,40,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,3,1,0
Powell,NFO,DEF,0.0,4.0,0.1,0,0,0.0,0.0,0.0,0.0,226,260,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,3,0,0
G.Montiel,NFO,DEF,0.0,4.5,0.0,0,1,4.8,18.0,25.5,4.0,255,273,0,0,0,1,0,0,0,0,0,0.0,2,0,1,121,0.0,0.07,0.07,1.39,0.0,0.0,Available,0,0,0.0,0.0,3,0,0
